trait,description
BXD_10193,Cancer biology: Leukocyte infiltration in metastatic breast tumor on day 5 (0 means no leukocyte infiltration and no destruction of implanted tumor cells and  4 means most severe destruction) [index]
BXD_10194,Cancer biology: Leukocyte infiltration in metastatic breast tumor on day 12 (0 means no leukocyte infiltration and no destruction of implanted tumor cells and  4 means most severe destruction) [index]
BXD_10195,Cancer biology:Leukocyte infiltration in metastatic breast tumor on day 30 (0 means no leukocyte infiltration and no destruction of implanted tumor cells and 4 means most severe destruction) [index]
BXD_10196,"Cancer biology, immune system: T cell infiltration at tumor site in breast cancer cells on day 5 (0 means no leukocyte infiltration and no destruction of implanted tumor cells and 4 means most severe destruction) [index]"
BXD_10197,"Cancer biology, immune system: T cell infiltration at tumor site in breast cancer cells on day 1 (0 means no leukocyte infiltration and no destruction of implanted tumor cells and 4 means most severe destruction) [index]"
BXD_10198,"Cancer biology, immune system: T cell infiltration at tumor site in breast cancer cells on day 30 (0 means no leukocyte infiltration and no destruction of implanted tumor cells and 4 means most severe destruction) [index]"
BXD_10199,Cancer biology: Apoptosis of breast tumor cells on day 12 (0 means no apoptosis infiltration and no destruction of implanted tumor cell and 4 means most severe) [index]
BXD_10200,Cancer biology: Apoptosis of breast tumor cells on day 30 (0 means no apoptosis infiltration and no destruction of implanted tumor cell and 4 means most severe) [index]
BXD_10201,Cancer biology: Mixed lymphocyte reaction (MLR) with BALB/c spleen cells [cpm stimulated/cpm unstimulated]
BXD_10202,"Central nervous system, pharmacology, behavior: Cocaine response (variable dose, iv), dosage required to induce tonic seizure infused via tail vein [mg/kg]"
BXD_10203,"Central nervous system, pharmacology, behavior: Cocaine response (variable dose iv via tail vein), dose required to induce clonic seizure [mg/kg]"
BXD_10204,Immune system: TRBV4+ T cell levels among CD8+ T cells in spleen [%]
BXD_10205,Immune system: TRBV4+ T cell levels among CD8+ T cells in peripheral blood [%]
BXD_10206,Immune system: Granulocyte colony stimulating factor (G-CSF) induced progenitor cell mobilization from bone marrow to blood [PB-CFC/ul]
BXD_10207,"Immune system, hematopoesis, aging: Hematopoietic stem cell and progenitor cell proliferative capacity (Lin-Sca1++ cells from femur bone marrow), in vitro assay of cells from 2-3 month old females in response to KL, flt3L, and TPO (Figure 3A of paper) [n cells]"
BXD_10208,"Immune system, hematopoesis, aging: Hematopoietic stem cells and progenitor cells, numbers of Lin-Sca1++ cells at 2 months of age in females (Figure 3B of paper) [n]"
BXD_10209,"Immune system, hematopoesis, aging: Relative fraction of hematopoietic stem cells and progenitor cells (Lin-Sca1++) from bone marrow in 2-3 month old females (Figure 3C of paper) [%]"
BXD_10210,"Immune system, hematopoesis, aging: Hematopoietic stem cells and progenitor cells in femur bone marrow, percentage of c-kit-postiive cells to c-kit-ngative cells among Lin-Sca1++ cells in 2-month old femaies (Figure 3d of paper) [%]"
BXD_10211,"Immune system, aging: Hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) at 18 months of age taken from femur bone marrow (Fig 2A of paper) [n per well]"
BXD_10212,"Immune system, aging: Percentage of hematopoietic stem cells and progenitor cells in femur bone marrow (lin-Sca1++ c-kit+) at 18 months of age (Figure 2B of paper) [%]"
BXD_10213,"Immune system, aging: Proliferative capacity in vitro of bone marrow stem and progenitor cells (lin-Sca1++ c-kit+ cells) at 18 months of age in response to KL, flt3L and TPO (figure 2C of paper) [n cells]"
BXD_10214,"Immune system, aging: Hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) at 18 months of age taken from femur bone marrow (additional data not included in paper) [n cells total]"
BXD_10215,"Immune system, aging: Hematopoietic stem cell and progenitor cell number (lin-Sca1++ c-kit+ cells) from femur bone marrow of females a 18 months (confirm) (unpublished additional data) [n cells]"
BXD_10216,"Immune system, aging: Proliferative capacity, number of hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) after treatment with transforming growth factor beta 2 (TGFB2, 0.01 ng/ml) at 18 months of age (confirm) (unpublished additional data) [% increase]"
BXD_10217,"Immune system, aging: Proliferative capacity, effect of TGF-beta2 stimulation (0.1 ng/ml) on numbers of lin-Sca1++ c-kit+ cells (unpublished additional data) [% increase]"
BXD_10218,"Immune system, aging: Proliferative capacity change, difference between old (18 months) and young (2 months) on number of hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) after treatment with transforming growth factor beta 2 (TGFB2, 0.1 nl/ml) (unpublished additional data) [cells per well]"
BXD_10219,"Immune system, aging: Percentage of hematopoietic stem cells and progenitor cells (lin-Sca1++ c-kit+ cells) at 18 months of age taken from femur bone marrow  [%]"
BXD_10220,"Central nervous system, pharmacology, protein expression: Dopamine receptor 2 and 3 (DRD2/DRD3) binding maximum (Bmax) in membrane fragments in the dorsal striatum (caudate putamen) of young adult males (125I-epidepride ligand) [fmol/mg wet weight]"
BXD_10221,"Central nervous system, pharmacology, protein expression: Dopamine receptor 2 and 3 (DRD2/DRD3) binding maximum (Bmax) in membrane fragments in the nucleus accumbens core of young adult males (125I-epidepride ligand) [fmol/mg wet weight]"
BXD_10222,"Central nervous system, pharmacology, protein expression: Dopamine receptor 2 and 3 (DRD2/DRD3) binding maximum (Bmax) in membrane fragments in the nucleus accumbens shell of young adult males (125I-epidepride ligand) [fmol/mg wet weight]"
BXD_10223,"Central nervous system, morphology: Tyrosine hydroxylase dopaminergic neurons in ventral tegmental area in young adult males [n/section]"
BXD_10224,"Central nervous system, morphology: Tyrosine hydroxylase dopaminergic neurons in substantia nigra compacta in young adult males [n/section]"
BXD_10225,"Immune system, aging: T-cell proliferative response (age-related decline), concavalin-A induced thymic T-cell response at 22-month-old in females (average of days 2 and 4)[unit]"
BXD_10226,"Immune system, aging: Age-related T-cell decline, percentage of CD4-negative CD8-negative DN cells in thymus [%]"
BXD_10227,"Immune system, aging: Age-related T-cell decline, percent of CD4-CD8 double positive cells in thymus [%]"
BXD_10228,"Immune system, aging: T-cell decline during aging, percentage of CD25-negative/CD44-positive double negative (CD4(-)CD8(-)) cells in thymus at 22 months [%]"
BXD_10229,"Immune system, aging: Age-related T-cell decline, percentage of CD25-positive CD44-negative DN cells in thymus [%]"
BXD_10230,"Immune system, aging: Age-related T-cell decline, percentage of CD25-CD44 double negative thymocytes at 22 months in females [%]"
BXD_10231,"Immune system, morphology, aging: Thymus involution, age-related rate of decline measured as involution slope (-beta 1x10^4)"
BXD_10232,"Immune system, morphology, aging: Thymocyte count in young adult mice, initial [Beta 0]"
BXD_10233,"Immune system, morphology, aging: Thymocyte count, projected at 60 days [units]"
BXD_10234,"Central nervous system, pharmacology, protein expression: Dopamine transporter (DAT, SLC6A3, Chr 13 at 73.6 Mb) protein density in the dorsal striatum (caudate putamen) [Bmax, pmol/mg]"
BXD_10235,"Immune system: Proliferation of T cell clone (JTL-G12 clone) without 50 ug/ml GAT (Glu60, Ala30, Tyr10) [cpm]"
BXD_10236,"Immune system: Proliferation of T cell clone (JTL-G12 clone) with 50 ug/ml GAT (Glu60, Ala30, Tyr10) [cpm]"
BXD_10237,"Immune system: Proliferation of T cell clone (JTL-G12.8 clone) without 50 ug/ml GAT (Glu60, Ala30, Tyr10) (unknown variant on Chr 1 between 177 and 182 Mb) [cpm]"
BXD_10238,"Immune system: Proliferation of T cell clone (JTL-G12.8 clone) with 50 ug/ml GAT (Glu60, Ala30, Tyr10) [cpm]"
BXD_10239,"Central nervous system, metabolism: Iron level in medial prefrontal cortex of males [ug/g]"
BXD_10240,"Central nervous system, metabolism: Iron level in medial prefrontal cortex of females [ug/g]"
BXD_10241,"Central nervous system, metabolism: Iron level in dorsal striatum (caudate putamen) of males [ug/g]"
BXD_10242,"Central nervous system, metabolism: Iron level in dorsal striatum (caudate putamen) of females [ug/g]"
BXD_10243,"Central nervous system, metabolism: Iron level in nucleus accumbens of males [ug/g]"
BXD_10244,"Central nervous system, metabolism: Iron level in nucleus accumbens of females [ug/g]"
BXD_10245,"Central nervous system, metabolism: Iron level in ventral midbrain of males [ug/g]"
BXD_10246,"Central nervous system, metabolism: Iron level in ventral midbrain of females [ug/g]"
BXD_10247,"Liver, metabolism: Iron level in liver of males [ug/g]"
BXD_10248,"Liver, metabolism: Iron level in liver of females [ug/g]"
BXD_10249,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in nucleus accumbens of males and females (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
BXD_10250,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in nucleus accumbens of males (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
BXD_10251,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in the nucleus accumbens of females (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
BXD_10252,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in the dorsal striatum (caudate putamen) of males (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
BXD_10253,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in the dorsal striatum (caudate putamen) of females (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
BXD_10254,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in the dorsal striatum (caudate putamen) of males and females (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
BXD_10255,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in the prefrontal cortex of males (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
BXD_10256,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in the prefrontal cortex of females (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
BXD_10257,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in the prefrontal cortex of males and females (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
BXD_10258,"Central nervous system, pharmacology, protein expression: Dopamine receptor 1 (DRD1) binding maximum (Bmax) in membrane fragments in the ventral midbrain (including the ventral tegmental area and substantia nigra) of males (Schering compound 3H-23390 ligand) [fmol/mg wet weight]"
